Request_ID,Request_received_at,Req.created_at,Request_candidate_starts_working_at,Request_closed_at,Request_Client_ID,Request_Unit_ID,Request_User_ID,Application_ID,Application_candidate_ID,Application_log_ID,Application_log_created_at,Application_log_closed_at,Application_log_status_name,Application_log_status_bucket_name,Application_log.rejection_reason,Application_log.rejection_subreason,Application_log.withdrawal_reason
100,2020-11-02,2020-11-02 14:27:05,2020-11-23,2020-11-24 23:59:00,313,15,125,21797,18364,58535,2020-11-05 11:01:58,2020-11-05 11:01:58,No respons,Pre screening,availability,cant_meet_required_hours,
100,2020-11-02,2020-11-02 14:27:05,2020-11-23,2020-11-24 23:59:00,313,15,125,26489,24061,87218,2020-11-05 10:52:11,2020-11-05 10:52:11,No respons,Pre screening,accessibility,unable_to_reach,
100,2020-11-02,2020-11-02 14:27:05,2020-11-23,2020-11-24 23:59:00,313,15,125,26988,21228,86594,2020-11-23 11:17:49,2020-11-23 11:17:49,No respons,Pre screening,vacancy,vacancy_filled,
100,2020-11-02,2020-11-02 14:27:05,2020-11-23,2020-11-24 23:59:00,313,15,125,29403,23337,95804,2020-11-17 10:28:10,2020-11-17 10:28:10,No respons,Pre screening,personality,motivation,
100,2020-11-02,2020-11-02 14:27:05,2020-11-23,2020-11-24 23:59:00,313,15,125,31668,6802,27074,2020-11-06 11:33:55,2020-11-06 11:33:55,No respons,Pre screening,personality,motivation,
100,2020-11-02,2020-11-02 14:27:05,2020-11-23,2020-11-24 23:59:00,313,15,125,33467,3293,105088,2020-11-20 10:59:30,2020-11-20 10:59:30,No respons,Pre screening,vacancy,vacancy_filled,
100,2020-11-02,2020-11-02 14:27:05,2020-11-23,2020-11-24 23:59:00,313,15,125,35150,7191,25384,2020-11-04 15:08:38,2020-11-04 15:08:38,No respons,Pre screening,accessibility,unable_to_reach,
100,2020-11-02,2020-11-02 14:27:05,2020-11-23,2020-11-24 23:59:00,313,15,125,38001,27261,15770,2020-11-05 10:46:23,2020-11-05 10:46:23,No respons,Pre screening,availability,cant_meet_required_hours,
100,2020-11-02,2020-11-02 14:27:05,2020-11-23,2020-11-24 23:59:00,313,15,125,43054,1470,64284,2020-11-23 11:09:08,2020-11-23 11:09:08,No respons,Pre screening,availability,cant_meet_required_hours,
115,2020-11-10,2020-11-10 16:20:36,2020-11-30,2020-11-24 23:59:00,237,15,6,5278,14145,1680,2020-11-11 12:51:41,2020-11-11 12:51:41,No respons,Pre screening,availability,other,
115,2020-11-10,2020-11-10 16:20:36,2020-11-30,2020-11-24 23:59:00,237,15,6,29298,15939,130751,2020-11-17 15:19:34,2020-11-17 15:19:34,No respons,Pre screening,,,
115,2020-11-10,2020-11-10 16:20:36,2020-11-30,2020-11-24 23:59:00,237,15,6,29298,15939,121257,2020-11-18 13:15:55,2020-11-18 13:15:55,No respons,Pre screening,,,
